id,index,host_is_superhost,host_total_listings_count,host_identity_verified,colonia,alcaldía,código_postal,latitude,longitude,accommodates,bathrooms,bedrooms,beds,precio,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,first_review,last_review,review_scores_rating,insta_book,flexible_cancel,Tipo Listado,pets_allowed,gym,breakfast,washer,dryer,parking,elevator,pool,smoking_allowed,hot_tub,ad_duration,Entire home/apt,ln_price,nombre_x,pi_dist,nombre_y,metro_distance
23728354,80012,1,2,0,Acacias/Actipan,Benito Juárez,3240,19.36553,-99.17518,2,1.5,1,1,304,0,500,1,100,6,28/7/18,12/6/19,100,1,0,1,0,0,0,1,1,1,1,0,0,0,11.59777408,0,5.717027701,Cineteca Nacional,1.206604201,Coyoacán,0.66446295
23732274,80060,0,1,0,Portales,Benito Juárez,3300,19.35758,-99.14703,2,1,1,1,398,0,0,1,0,5,21/3/18,3/3/19,80,0,1,0,0,0,0,1,0,1,0,0,0,0,15.83605413,0,5.986452005,Museo Frida Kahlo,1.623611074,Ermita_1,0.380514096
23733603,80071,0,3,0,Juárez,Cuauhtémoc,6600,19.42214,-99.17458,1,1,1,1,417,0,0,1,0,5,19/3/18,31/5/19,92,0,1,1,1,0,0,1,0,1,0,0,1,0,15.9017639,0,6.033086222,Castillo de Chapultepec,0.792865084,Chapultepec,0.296812848
23733705,80106,0,1,0,,Venustiano Carranza,15530,19.43393,-99.08997,2,1,1,1,645,0,150,1,0,20,19/3/18,23/5/19,100,1,1,0,0,0,0,0,0,1,1,0,0,0,15.9017639,1,6.469250317,Museo del Templo Mayor,4.337236025,Terminal Aérea,0.185600314
23734085,80144,0,2,1,Roma Sur,Cuauhtémoc,6760,19.40363,-99.16011,4,1,1,1,892,0,350,2,200,15,29/4/18,30/6/19,96,1,0,1,0,0,0,1,1,1,0,0,1,0,14.55471365,1,6.793466133,La Condesa,2.131116872,Centro Médico_1_2,0.611664825
23744344,80181,1,30,0,Juárez,Cuauhtémoc,6600,19.42707,-99.16461,4,2,2,2,1100,0,0,5,300,110,14/3/18,10/7/19,98,1,1,1,0,0,0,0,1,1,1,0,0,0,16.06603832,1,7.003065459,Monumento a los Héroes de la Independencia,0.327297789,Insurgentes_1_5,0.411491745
23744777,80204,1,3,0,Roma Sur,Cuauhtémoc,6760,19.40948,-99.16173,4,2,2,2,949,0,300,1,0,44,29/7/18,11/7/19,100,1,1,1,0,0,0,1,1,0,0,0,0,0,11.5649192,1,6.855408799,La Condesa,1.693720919,Centro Médico_1,0.707781105
23746460,80220,0,4,1,,Gustavo A. Madero,7969,19.45042,-99.0913,2,1,1,1,247,0,0,2,100,113,17/3/18,25/6/19,92,1,0,1,0,0,0,0,1,1,0,0,0,0,16.00032855,0,5.509388337,Murales de Diego Rivera en la Secretaría de Educación Pública,4.513788717,Aragón,0.495040449
23750875,80271,0,2,0,Anzures,Miguel Hidalgo,11590,19.43231,-99.17324,5,1,2,3,1897,0,569,1,0,36,24/6/18,8/7/19,84,1,0,1,0,0,0,0,0,0,1,0,0,1,12.71484014,1,7.54802897,Monumento a los Héroes de la Independencia,0.821889795,Sevilla,1.186561932
23764328,80308,1,30,0,Zona Rosa,Cuauhtémoc,6600,19.42674,-99.16275,4,2,2,2,1499,0,0,5,300,109,5/4/18,10/7/19,97,1,1,1,0,0,0,0,1,1,1,0,0,0,15.34323087,1,7.312553498,Reforma 222,0.268323392,Insurgentes_1_5,0.353370739
23765838,80332,1,1,1,Guerrero,Cuauhtémoc,6300,19.43824,-99.14802,4,2,2,3,721,0,228,1,0,91,14/3/18,4/7/19,97,1,1,0,0,0,0,1,1,1,1,0,0,0,16.06603832,1,6.580639137,Alameda Central,0.506857798,Hidalgo_1_2,0.095682819
